"AnonID","State","Completed","Time.taken","Grade.100.00","Q1..5.00","Q2..5.00","Q3..5.00","Q4..5.00","Q5..5.00","Q6..5.00","Q7..5.00","Q8..5.00","Q9..5.00","Q10..5.00","Q11..5.00","Q12..5.00","Q13..5.00","Q14..5.00","Q15..5.00","Q16..5.00","Q17..5.00","Q18..5.00","Q19..5.00","Q20..5.00"
"S17fb4548","Finished","17 August 2018  3:20 PM","1 hour 18 mins",90.75,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","3.75","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S191d62fa","Finished","17 August 2018  3:11 PM","1 hour 6 mins",88.13,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3.13","5.00","5.00","5.00","5.00","0.00","5.00","5.00","0.00","5.00","5.00"
"Sb1cd80bf","Finished","17 August 2018  5:00 PM","1 hour 30 mins",83.75,"5.00","5.00","5.00","-","0.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Se4ee8b61","Finished","17 August 2018  5:45 PM","1 hour 30 mins",81.5,"2.50","5.00","3.75","5.00","2.00","5.00","5.00","5.00","5.00","1.25","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S43e6565a","Finished","18 August 2018  12:02 PM","1 hour 4 mins",93.38,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","4.38","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Saa23e7c9","Finished","18 August 2018  4:33 PM","1 hour 30 mins",79.88,"5.00","5.00","5.00","5.00","0.00","5.00","-","5.00","5.00","1.88","2.00","5.00","5.00","1.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sac714643","Finished","18 August 2018  5:00 PM","1 hour 29 mins",79,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","-","0.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S234f84f9","Finished","18 August 2018  8:54 PM","1 hour 30 mins",77,"5.00","5.00","3.75","0.00","2.00","5.00","5.00","5.00","2.50","1.25","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","0.00","5.00"
"S8f8b7ee7","Finished","18 August 2018  11:16 PM","1 hour 29 mins",54,"5.00","0.00","5.00","5.00","2.00","-","-","5.00","-","0.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","0.00","0.00","0.00"
"S9127bc48","Finished","19 August 2018  10:25 AM","1 hour 30 mins",83.38,"2.50","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","1.88","5.00","0.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
