"AnonID","State","Completed","Time.taken","Grade.100.00","Q1..5.00","Q2..5.00","Q3..5.00","Q4..5.00","Q5..5.00","Q6..5.00","Q7..5.00","Q8..5.00","Q9..5.00","Q10..5.00","Q11..5.00","Q12..5.00","Q13..5.00","Q14..5.00","Q15..5.00","Q16..5.00","Q17..5.00","Q18..5.00","Q19..5.00","Q20..5.00"
"S2628fc50","Finished","22 August 2017  12:00 PM","1 hour 29 mins",88.75,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","-","5.00"
"S0843de39","Finished","22 August 2017  1:21 PM","1 hour 11 mins",77.63,"5.00","5.00","5.00","0.00","2.00","5.00","5.00","5.00","2.50","3.13","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Sf2be7528","Finished","22 August 2017  2:18 PM","51 mins 57 secs",55.25,"5.00","0.00","2.50","5.00","0.00","5.00","0.00","5.00","0.00","0.00","2.00","5.00","5.00","2.00","3.75","5.00","5.00","0.00","5.00","0.00"
"S05b38653","Finished","22 August 2017  3:33 PM","1 hour 19 mins",70,"5.00","5.00","2.50","5.00","2.00","5.00","0.00","5.00","5.00","2.50","5.00","0.00","3.00","0.00","5.00","5.00","5.00","0.00","5.00","5.00"
"Sa03ce7d1","Finished","22 August 2017  3:03 PM","47 mins 56 secs",97,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sf42a7889","Finished","22 August 2017  4:09 PM","1 hour 18 mins",91.88,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","4.38","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S2d498fc8","Finished","22 August 2017  4:56 PM","1 hour 30 mins",73.88,"0.00","5.00","5.00","0.00","5.00","5.00","0.00","5.00","2.50","3.13","5.00","5.00","5.00","2.00","1.25","5.00","5.00","5.00","5.00","5.00"
"S55a45b54","Finished","22 August 2017  5:23 PM","1 hour 26 mins",78,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","2.50","2.50","4.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","0.00"
"S673623cc","Finished","22 August 2017  5:42 PM","1 hour 29 mins",49.88,"2.50","5.00","3.75","5.00","-","5.00","-","0.00","2.50","0.63","1.00","5.00","2.00","0.00","2.50","5.00","5.00","5.00","0.00","0.00"
"S82bce98a","Finished","22 August 2017  6:57 PM","1 hour 30 mins",94,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S88868d53","Finished","22 August 2017  7:05 PM","1 hour 4 mins",63.25,"5.00","0.00","2.50","5.00","-","5.00","0.00","5.00","2.50","2.50","2.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","0.00","0.00"
"Sc671490b","Finished","22 August 2017  7:47 PM","1 hour 14 mins",65.25,"5.00","0.00","3.75","5.00","-","5.00","0.00","5.00","2.50","0.00","5.00","4.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S953d8428","Finished","22 August 2017  8:12 PM","1 hour 17 mins",60.63,"5.00","5.00","5.00","5.00","2.00","-","0.00","5.00","0.00","0.63","5.00","5.00","3.00","-","5.00","5.00","5.00","5.00","-","0.00"
"S99518e26","Finished","22 August 2017  9:19 PM","1 hour 4 mins",80.75,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","2.50","1.25","5.00","5.00","5.00","-","5.00","5.00","5.00","0.00","5.00","5.00"
"S6c7ab050","Finished","22 August 2017  10:57 PM","1 hour 30 mins",71.88,"5.00","5.00","5.00","5.00","-","5.00","0.00","-","5.00","1.88","5.00","5.00","5.00","-","0.00","5.00","5.00","5.00","5.00","5.00"
"S75a336c3","Finished","23 August 2017  9:12 AM","1 hour 30 mins",85.63,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","0.63","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S7587f1cc","Finished","23 August 2017  9:33 AM","1 hour 26 mins",62,"2.50","5.00","5.00","5.00","0.00","5.00","0.00","5.00","0.00","2.50","5.00","5.00","5.00","2.00","5.00","5.00","5.00","0.00","0.00","0.00"
"Scf1fbe03","Finished","23 August 2017  11:13 AM","1 hour 17 mins",92,"5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S1ca82123","Finished","23 August 2017  12:45 PM","1 hour 30 mins",45.88,"5.00","0.00","1.25","5.00","0.00","5.00","0.00","5.00","2.50","0.63","5.00","5.00","2.00","2.00","2.50","0.00","5.00","0.00","0.00","0.00"
"S570284c6","Finished","23 August 2017  1:27 PM","57 mins 11 secs",85.5,"5.00","5.00","5.00","0.00","2.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","1.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sffc7ff09","Finished","23 August 2017  1:49 PM","1 hour 14 mins",83.88,"0.00","5.00","3.75","5.00","2.00","5.00","0.00","5.00","5.00","3.13","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S73abd685","Finished","23 August 2017  2:17 PM","1 hour 29 mins",87.5,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
