"AnonID","State","Completed","Time.taken","Grade.100.00","Q1..5.00","Q2..5.00","Q3..5.00","Q4..5.00","Q5..5.00","Q6..5.00","Q7..5.00","Q8..5.00","Q9..5.00","Q10..5.00","Q11..5.00","Q12..5.00","Q13..5.00","Q14..5.00","Q15..5.00","Q16..5.00","Q17..5.00","Q18..5.00","Q19..5.00","Q20..5.00"
"Scede211c","Finished","19 August 2021  10:47 AM","58 mins 13 secs",88.75,"5.00","5.00","5.00","5.00","-","0.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sbb371e67","Finished","19 August 2021  12:06 PM","1 hour 30 mins",78.25,"5.00","5.00","2.00","5.00","-","5.00","0.00","5.00","5.00","1.25","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00"
"S6fca067d","Finished","19 August 2021  12:15 PM","1 hour 25 mins",59,"5.00","0.00","1.00","5.00","-","5.00","5.00","5.00","2.50","0.00","5.00","5.00","3.00","0.00","2.50","5.00","5.00","5.00","0.00","-"
"S275c7e84","Finished","19 August 2021  11:56 AM","59 mins 35 secs",92,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S45813196","Finished","19 August 2021  12:12 PM","1 hour 8 mins",84.5,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","2.50","0.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sd213d012","Finished","19 August 2021  12:49 PM","1 hour 23 mins",80.13,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","0.00","3.13","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","-"
"S4e595e9d","Finished","19 August 2021  1:28 PM","1 hour 10 mins",79.38,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","4.38","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","0.00"
"S79ba6ae3","Finished","19 August 2021  1:43 PM","1 hour 21 mins",87,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S65bf5161","Finished","19 August 2021  1:56 PM","1 hour 27 mins",81.38,"2.50","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","1.88","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Se0cdd55c","Finished","19 August 2021  2:11 PM","1 hour 22 mins",88.75,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","0.00","5.00"
"S11e0d073","Finished","19 August 2021  2:04 PM","1 hour 13 mins",97,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S2eb1d95c","Finished","19 August 2021  2:17 PM","1 hour 18 mins",73.5,"2.50","5.00","4.00","5.00","-","0.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S27254e93","Finished","19 August 2021  2:21 PM","1 hour 19 mins",83.75,"5.00","5.00","5.00","5.00","0.00","5.00","0.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00"
"S5ee48aa0","Finished","19 August 2021  3:04 PM","1 hour 30 mins",63,"5.00","5.00","4.00","0.00","2.00","2.50","5.00","0.00","2.50","-","5.00","0.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","-"
"Sb883f462","Finished","19 August 2021  3:06 PM","1 hour 30 mins",87.5,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","0.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Sa53b4472","Finished","19 August 2021  3:09 PM","1 hour 30 mins",72.38,"5.00","5.00","3.00","5.00","5.00","5.00","-","5.00","5.00","4.38","-","5.00","0.00","0.00","5.00","5.00","5.00","0.00","5.00","5.00"
"S0b784f70","Finished","19 August 2021  3:09 PM","1 hour 30 mins",51.25,"5.00","5.00","3.00","5.00","0.00","2.50","0.00","0.00","5.00","3.75","-","5.00","0.00","2.00","5.00","5.00","5.00","0.00","0.00","0.00"
"S180d83bf","Finished","19 August 2021  2:26 PM","40 mins 23 secs",54.13,"0.00","5.00","2.00","0.00","-","5.00","5.00","5.00","2.50","0.63","2.00","5.00","2.00","-","5.00","5.00","5.00","0.00","5.00","-"
"S831e3955","Finished","19 August 2021  3:19 PM","1 hour 10 mins",90,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S9e0c8f9f","Finished","19 August 2021  3:38 PM","59 mins 24 secs",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S7e790808","Finished","19 August 2021  4:16 PM","1 hour 27 mins",87,"5.00","5.00","5.00","0.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S97ae4adc","Finished","19 August 2021  4:16 PM","1 hour 26 mins",94,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S28f69b63","Finished","19 August 2021  4:50 PM","1 hour 30 mins",89,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sd862f28e","Finished","19 August 2021  4:50 PM","1 hour 22 mins",84.5,"5.00","0.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S2c6b2820","Finished","19 August 2021  4:58 PM","1 hour 28 mins",63.5,"5.00","0.00","2.00","5.00","5.00","0.00","5.00","5.00","5.00","0.00","5.00","5.00","2.00","2.00","2.50","5.00","5.00","0.00","5.00","0.00"
"S99546a5e","Finished","19 August 2021  5:29 PM","1 hour 23 mins",67.25,"0.00","0.00","5.00","5.00","2.00","-","5.00","5.00","5.00","1.25","5.00","4.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","0.00"
"S56506a5c","Finished","19 August 2021  5:45 PM","1 hour 29 mins",85,"5.00","5.00","3.00","5.00","2.00","5.00","5.00","5.00","5.00","-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00"
"Sc5933d4a","Finished","19 August 2021  6:05 PM","1 hour 29 mins",72.5,"5.00","5.00","5.00","5.00","3.00","5.00","0.00","5.00","2.50","0.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","-","-"
"S29418dfd","Finished","19 August 2021  6:44 PM","1 hour 30 mins",59.5,"5.00","5.00","5.00","0.00","0.00","0.00","0.00","5.00","5.00","2.50","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","0.00","-"
"S9881af01","Finished","19 August 2021  8:02 PM","1 hour 23 mins",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S18c94437","Finished","19 August 2021  8:53 PM","1 hour 27 mins",78.75,"5.00","5.00","5.00","0.00","5.00","5.00","0.00","5.00","2.50","1.25","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Sb081b352","Finished","19 August 2021  9:05 PM","1 hour 21 mins",64.75,"5.00","5.00","3.00","0.00","0.00","5.00","0.00","5.00","5.00","3.75","0.00","5.00","2.00","1.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Sb6b8d2e4","Finished","19 August 2021  10:22 PM","1 hour 30 mins",60.63,"5.00","5.00","5.00","0.00","3.00","5.00","0.00","5.00","2.50","3.13","5.00","1.00","0.00","1.00","5.00","5.00","5.00","5.00","0.00","0.00"
"S8476c209","Finished","19 August 2021  11:36 PM","1 hour 29 mins",80,"5.00","5.00","5.00","5.00","-","5.00","0.00","5.00","5.00","-","-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S7285e189","Finished","20 August 2021  4:51 AM","1 hour 30 mins",47,"5.00","5.00","5.00","5.00","-","-","-","-","-","-","2.00","5.00","0.00","-","5.00","5.00","5.00","5.00","-","-"
"S111e05d6","Finished","20 August 2021  7:38 AM","1 hour 24 mins",85.75,"5.00","5.00","5.00","5.00","2.00","-","0.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S52ba1d7f","Finished","20 August 2021  8:10 AM","1 hour 14 mins",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Scb2e5689","Finished","20 August 2021  7:50 AM","51 mins 53 secs",77.5,"5.00","5.00","5.00","-","0.00","5.00","-","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00"
"Sddce4b48","Finished","20 August 2021  10:29 AM","1 hour 29 mins",69.5,"5.00","5.00","5.00","5.00","0.00","5.00","-","-","5.00","2.50","-","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","5.00"
"S044eca37","Finished","20 August 2021  12:20 PM","1 hour 29 mins",67.25,"5.00","5.00","5.00","5.00","2.00","5.00","0.00","5.00","0.00","1.25","5.00","5.00","2.00","2.00","5.00","5.00","5.00","5.00","-","0.00"
"S556112b3","Finished","20 August 2021  12:03 PM","1 hour 3 mins",87,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","2.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Sf8d93709","Finished","20 August 2021  12:37 PM","1 hour 30 mins",0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sf06de303","Finished","20 August 2021  2:05 PM","1 hour 22 mins",74.5,"5.00","5.00","5.00","5.00","5.00","0.00","-","5.00","2.50","-","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","0.00","5.00"
"S1717dfb7","Finished","20 August 2021  3:09 PM","1 hour 30 mins",67,"5.00","0.00","5.00","5.00","0.00","5.00","0.00","5.00","0.00","1.25","5.00","5.00","5.00","2.00","3.75","5.00","5.00","5.00","5.00","0.00"
"S4d9f1752","Finished","20 August 2021  2:42 PM","1 hour 1 min",94.75,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","4.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sd5f4f8b1","Finished","20 August 2021  3:18 PM","1 hour 30 mins",86.38,"5.00","5.00","5.00","5.00","5.00","2.50","0.00","5.00","5.00","1.88","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S01e6edf2","Finished","20 August 2021  3:31 PM","1 hour 30 mins",57,"0.00","5.00","5.00","5.00","-","-","0.00","5.00","5.00","-","2.00","5.00","0.00","5.00","5.00","-","5.00","5.00","5.00","0.00"
"Scdfee7cb","Finished","20 August 2021  3:37 PM","1 hour 23 mins",64,"5.00","0.00","5.00","-","-","5.00","0.00","5.00","5.00","0.00","2.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Sef17696e","Finished","20 August 2021  3:47 PM","1 hour 29 mins",46,"0.00","5.00","5.00","-","-","5.00","-","5.00","5.00","-","1.00","0.00","5.00","5.00","0.00","5.00","5.00","0.00","0.00","0.00"
"S4c9aa9bf","Finished","20 August 2021  4:00 PM","1 hour 27 mins",58,"5.00","0.00","2.00","5.00","2.00","-","5.00","5.00","5.00","0.00","2.00","5.00","2.00","5.00","5.00","5.00","5.00","0.00","-","-"
"S456b6cff","Finished","20 August 2021  4:42 PM","1 hour 23 mins",94.5,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sd50586ec","Finished","20 August 2021  5:09 PM","1 hour 29 mins",81.88,"5.00","5.00","4.00","5.00","0.00","5.00","5.00","5.00","5.00","1.88","5.00","5.00","5.00","1.00","5.00","5.00","5.00","5.00","5.00","0.00"
"Seded350a","Finished","20 August 2021  5:09 PM","1 hour 27 mins",77,"5.00","0.00","5.00","5.00","2.00","5.00","0.00","5.00","5.00","-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S00fd1781","Finished","20 August 2021  5:20 PM","1 hour 30 mins",2.5,"2.50","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"S6704c9db","Finished","20 August 2021  5:08 PM","1 hour 7 mins",87.5,"5.00","5.00","5.00","5.00","-","5.00","5.00","5.00","2.50","-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sc0274f8d","Finished","20 August 2021  7:01 PM","1 hour 30 mins",61,"5.00","0.00","4.00","0.00","-","5.00","-","5.00","5.00","-","5.00","5.00","5.00","2.00","0.00","5.00","5.00","-","5.00","5.00"
"Sdeb6dea3","Finished","21 August 2021  3:47 AM","1 hour 30 mins",84.5,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","2.50","2.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","0.00","5.00"
"S8981c734","Finished","21 August 2021  7:53 AM","50 mins 17 secs",95,"5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sf1eda9c0","Finished","21 August 2021  8:19 AM","39 mins 43 secs",97,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"Sd7c05877","Finished","21 August 2021  10:47 AM","1 hour 18 mins",100,"5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S5f84f77e","Finished","21 August 2021  1:14 PM","1 hour 24 mins",94.5,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","2.50","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S27387384","Finished","21 August 2021  1:13 PM","1 hour 18 mins",95.75,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S7702c0ac","Finished","21 August 2021  1:36 PM","1 hour 27 mins",70,"5.00","0.00","3.00","5.00","-","5.00","0.00","5.00","5.00","0.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","5.00","0.00"
"S196a0510","Finished","21 August 2021  1:57 PM","1 hour 28 mins",95,"5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00","5.00"
"S4154f3d0","Finished","21 August 2021  2:00 PM","1 hour 26 mins",90.75,"5.00","5.00","5.00","5.00","2.00","5.00","5.00","5.00","5.00","3.75","5.00","5.00","5.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00"
"Sa2f00c2f","Finished","21 August 2021  1:46 PM","1 hour 10 mins",44.25,"5.00","5.00","0.00","0.00","-","0.00","0.00","5.00","5.00","1.25","1.00","5.00","2.00","0.00","5.00","5.00","5.00","0.00","0.00","0.00"
"S3ded9cec","Finished","21 August 2021  2:28 PM","1 hour 23 mins",77,"5.00","5.00","5.00","5.00","2.00","-","0.00","5.00","5.00","-","5.00","5.00","5.00","5.00","5.00","5.00","5.00","0.00","5.00","5.00"
"S615b8007","Finished","21 August 2021  3:07 PM","1 hour 29 mins",53.63,"5.00","0.00","4.00","5.00","2.00","0.00","0.00","5.00","5.00","0.63","5.00","5.00","5.00","2.00","5.00","5.00","0.00","0.00","0.00","0.00"
"Sa8e97fe9","Finished","21 August 2021  3:48 PM","56 mins 43 secs",73.5,"5.00","5.00","5.00","5.00","-","-","0.00","5.00","5.00","2.50","5.00","1.00","5.00","0.00","5.00","5.00","5.00","5.00","5.00","5.00"
