AnonID,year,nonspec_EM1a,nonspec_EM1b,nonspec_MNS1a,nonspec_MNS1b,nonspec_MSE1a,nonspec_MSE1b,spec_CAP,spec_ILA,spec_PPS
S0e0c1fa6,2015/6,81,84,,,,,,,
S0e10db18,2015/6,64,62,,,,,,,
S0ea1442b,2016/7,80,88,,,,,,,
S0f0c1af8,2015/6,58,61,,,,,,,
S0f3b5602,2017/8,89,83,,,,,,,
S0f840680,2015/6,77,92,,,,,,,
S10033c3a,2015/6,68,63,,,,,,,
S1019e5cb,2015/6,93,81,,,,,,,
S105d5928,2016/7,56,61,,,,,,,
S1080214f,2017/8,40,,,,,,,,
S108d3d0d,2015/6,67,77,,,,,,,
S10918fd0,2017/8,96,80,,,,,,,
S10a8c025,2016/7,83,78,,,,,,,
S10f169dc,2015/6,64,57,,,,,,,
S111aae86,2017/8,65,62,,,,,,,
S114ad70c,2016/7,74,47,,,,,,,
S1163cca3,2015/6,58,57,,,,,,,
S1166fa57,2016/7,93,67,,,,,,,
S11975b7f,2015/6,60,60,,,,,,,
S11a6633e,2015/6,97,86,,,,,,,
S1270aeee,2015/6,49,50,,,,,,,
S12ba8eda,2017/8,91,97,,,,,,,
S136ad83b,2017/8,64,66,,,,,,,
S13a2252d,2017/8,75,78,,,,,,,
S141f6723,2017/8,81,81,,,,,,,
S1436fefb,2015/6,60,61,,,,,,,
S14760002,2015/6,85,78,,,,,,,
S14deb20e,2015/6,84,72,,,,,,,
S14fc3a7c,2016/7,93,93,,,,,,,
S15a28629,2015/6,55,67,,,,,,,
S15b5785c,2017/8,74,66,,,,,,,
S1674f124,2015/6,62,,,,,,,,
S1681d2f4,2015/6,57,50,,,,,,,
S168f3624,2017/8,80,70,,,,,,,
S16af6018,2016/7,57,73,,,,,,,
S16c6f32d,2017/8,71,57,,,,,,,
S16f22eb1,2016/7,81,71,,,,,,,
S16f3e3ee,2016/7,66,80,,,,,,,
S17197b3b,2016/7,88,94,,,,,,,
S17660451,2015/6,55,69,,,,,,,
S176f9aeb,2015/6,64,47,,,,,,,
S17898813,2017/8,78,85,,,,,,,
S17d3543f,2016/7,68,76,,,,,,,
S181cb165,2015/6,90,84,,,,,,,
S182971e3,2016/7,86,81,,,,,,,
S18379c6b,2017/8,72,80,,,,,,,
S185b8f2b,2017/8,73,87,,,,,,,
S192439a1,2016/7,64,81,,,,,,,
S19885b67,2016/7,87,88,,,,,,,
S1a115166,2016/7,90,82,,,,,,,
S1a6b233e,2017/8,79,68,,,,,,,
S1b0ab7ee,2015/6,54,52,,,,,,,
S1b49565a,2015/6,54,56,,,,,,,
S1bd1b402,2015/6,70,64,,,,,,,
S1c87d3d7,2017/8,74,77,,,,,,,
S1ca82123,2017/8,49,54,,,,,,,
S1ce2a509,2016/7,78,85,,,,,,,
S1cef663e,2016/7,79,88,,,,,,,
S1d2b78f1,2015/6,70,81,,,,,,,
S1d4676ab,2017/8,92,70,,,,,,,
S1d4af584,2017/8,67,57,,,,,,,
S1dc0f750,2015/6,43,28,,,,,,,
S1dd8495e,2017/8,91,75,,,,,,,
S1df37bc7,2015/6,59,66,,,,,,,
S1dfeeac2,2015/6,60,48,,,,,,,
S1e260320,2017/8,81,81,,,,,,,
S1ea34ebf,2017/8,49,56,,,,,,,
S1f56bb18,2015/6,55,52,,,,,,,
S20210e3c,2017/8,72,72,,,,,,,
S206aacca,2016/7,54,44,,,,,,,
S21239889,2016/7,82,90,,,,,,,
S21cc49c9,2016/7,42,,,,,,,,
S21db775e,2017/8,77,65,,,,,,,
S224ce3b0,2015/6,73,78,,,,,,,
S2270a21b,2016/7,54,51,,,,,,,
S22971448,2016/7,69,50,,,,,,,
S2367075e,2015/6,64,60,,,,,,,
S23685bde,2015/6,69,72,,,,,,,
S241f4f87,2015/6,71,64,,,,,,,
S244d3b6a,2015/6,46,,,,,,,,
S24764e62,2017/8,53,58,,,,,,,
S2481bfa0,2017/8,69,65,,,,,,,
S24d27f41,2017/8,71,78,,,,,,,
S252bd6bc,2015/6,69,68,,,,,,,
S259819ea,2017/8,82,71,,,,,,,
S25ab4654,2015/6,60,56,,,,,,,
S25c28753,2017/8,6,5,,,,,,,
S26953365,2016/7,70,57,,,,,,,
S26ee803e,2015/6,52,46,,,,,,,
S270d46b3,2015/6,57,52,,,,,,,
S271a7824,2017/8,80,69,,,,,,,
S277034be,2016/7,63,56,,,,,,,
S278e84b3,2016/7,47,58,,,,,,,
S27c23987,2016/7,70,70,,,,,,,
S283c0c73,2016/7,74,80,,,,,,,
S28658d87,2016/7,74,6,,,,,,,
S2873b19d,2016/7,60,72,,,,,,,
S2876737d,2016/7,81,78,,,,,,,
S28941859,2016/7,81,81,,,,,,,
S28cbd6d0,2015/6,77,65,,,,,,,
S28fe6f05,2016/7,90,78,,,,,,,
S29190011,2017/8,67,46,,,,,,,
S291a2baa,2015/6,66,72,,,,,,,
S2996f88f,2015/6,56,50,,,,,,,
S29c2289c,2015/6,51,57,,,,,,,
S29c8761e,2015/6,71,71,,,,,,,
S2a43408a,2017/8,68,54,,,,,,,
S2ad32172,2015/6,47,53,,,,,,,
S2b1d55c9,2016/7,77,80,,,,,,,
S2b3625c5,2015/6,53,61,,,,,,,
S2b52eb4b,2016/7,58,51,,,,,,,
S2c92ae47,2017/8,74,70,,,,,,,
S2c993d9a,2017/8,75,71,,,,,,,
S2cab6f99,2016/7,86,90,,,,,,,
S2d81cb6f,2016/7,75,71,,,,,,,
S2d828920,2017/8,66,67,,,,,,,
S2d9bb4b8,2016/7,61,57,,,,,,,
S2db2d644,2016/7,48,43,,,,,,,
S2dbb639f,2016/7,100,95,,,,,,,
S2dc43794,2016/7,84,89,,,,,,,
S2e034820,2017/8,74,66,,,,,,,
S2efca892,2016/7,88,80,,,,,,,
S2f3d6b2a,2016/7,78,85,,,,,,,
S2fc61aab,2016/7,83,83,,,,,,,
S2fd980a1,2017/8,72,70,,,,,,,
S30fc71a8,2016/7,94,93,,,,,,,
S313cc6fe,2016/7,55,53,,,,,,,
S313d9641,2017/8,60,68,,,,,,,
S31b387d1,2015/6,53,52,,,,,,,
S31d06107,2017/8,66,54,,,,,,,
S31ed5b72,2016/7,58,60,,,,,,,
S31f5cd71,2017/8,64,66,,,,,,,
S32083154,2015/6,57,55,,,,,,,
S322e0f28,2016/7,92,74,,,,,,,
S3268a13b,2015/6,72,56,,,,,,,
S332295a2,2016/7,79,63,,,,,,,
S345d802c,2015/6,63,50,,,,,,,
S347a6c98,2016/7,57,55,,,,,,,
S34a4ad94,2016/7,70,74,,,,,,,
S34d26725,2016/7,78,63,,,,,,,
S34fe332d,2016/7,77,59,,,,,,,
S3547b46c,2016/7,48,10,,,,,,,
S354d770e,2017/8,80,67,,,,,,,
S355a99dc,2017/8,48,60,,,,,,,
S356badc1,2015/6,42,,,,,,,,
S3592746d,2015/6,67,57,,,,,,,
S359e37a0,2015/6,48,51,,,,,,,
S35df1b91,2015/6,41,11,,,,,,,
S365ef1f0,2016/7,86,92,,,,,,,
S365f339f,2015/6,69,68,,,,,,,
S36f18c7b,2016/7,57,,,,,,,,
S37bf6828,2015/6,59,60,,,,,,,
S37e5e906,2015/6,57,53,,,,,,,
S37ec77bc,2015/6,58,62,,,,,,,
S38462bea,2015/6,79,83,,,,,,,
S387e1fc1,2016/7,84,74,,,,,,,
S39201949,2015/6,57,51,,,,,,,
S39235436,2016/7,58,,,,,,44,,61
S39fd07ea,2015/6,55,59,,,,,,,
S3a5cd12f,2015/6,75,85,,,,,,,
S3a76ee0b,2017/8,57,53,,,,,,,
S3aaeed3d,2017/8,75,,,,,,,,
S3b5df1c1,2016/7,51,66,,,,,,,
S3b5f467b,2016/7,57,,,,,,,,
S3b84bddf,2017/8,71,90,,,,,,,
S3b8a5a63,2015/6,50,51,,,,,,,
S3bd0db4d,2015/6,61,56,,,,,,,
S3bdf58b8,2015/6,57,59,,,,,,,
S3bfdb60e,2016/7,72,63,,,,,,,
S3c18b8ab,2016/7,78,63,,,,,,,
S3cca5cae,2016/7,69,63,,,,,,,
S3cee9ba1,2016/7,81,82,,,,,,,
S3cfa5ec8,2015/6,44,33,,,,,,,
S3d263d87,2017/8,73,71,,,,,,,
S3d33a761,2017/8,70,77,,,,,,,
S3d606780,2017/8,82,82,,,,,,,
S3dcb0513,2015/6,50,,,,,,,,
S3dcfc57e,2017/8,74,77,,,,,,,
S3deef467,2015/6,57,61,,,,,,,
S3e405a73,2016/7,74,70,,,,,,,
S3e581c35,2017/8,47,44,,,,,,,
S3f1be424,2016/7,45,53,,,,,,,
S3f6b18bb,2015/6,81,67,,,,,,,
S3fd8f3bc,2016/7,60,70,,,,,,,
S3ff5757c,2016/7,68,69,,,,,,,
S40b64e60,2017/8,48,42,,,,,,,
S4138a3a0,2017/8,64,65,,,,,,,
S41511bf4,2015/6,66,37,,,,,,,
S41d22de0,2016/7,59,62,,,,,,,
S421a78b7,2016/7,64,48,,,,,,,
S43b7a84f,2016/7,42,0,,,,,,,
S43e335f9,2015/6,66,76,,,,,,,
S4410bef7,2015/6,66,56,,,,,,,
S44381154,2016/7,73,65,,,,,,,
S44482d29,2015/6,85,73,,,,,,,
S4469dcd2,2016/7,74,88,,,,,,,
S44933152,2015/6,52,52,,,,,,,
S44abfd31,2017/8,86,82,,,,,,,
S4523650c,2016/7,84,63,,,,,,,
S458e0a77,2016/7,55,61,,,,,,,
S45be0721,2017/8,67,83,,,,,,,
S45bf88eb,2016/7,91,72,,,,,,,
S45c1b4f5,2016/7,57,53,,,,,,,
S46124fd1,2015/6,87,90,,,,,,,
S464be544,2016/7,84,93,,,,,,,
S46556138,2015/6,51,16,,,,,,,
S469881bb,2015/6,66,64,,,,,,,
S4781aab6,2016/7,86,91,,,,,,,
S47d88d64,2016/7,81,89,,,,,,,
S483dac3e,2016/7,68,72,,,,,,,
S488feca2,2015/6,73,67,,,,,,,
S48aa8036,2015/6,79,84,,,,,,,
S48ebbca0,2017/8,90,93,,,,,,,
S48f00118,2016/7,63,67,,,,,,,
S49442c9a,2015/6,53,73,,,,,,,
S498f1e84,2016/7,82,87,,,,,,,
S49b0356d,2017/8,72,67,,,,,,,
S4b1ff55e,2016/7,80,73,,,,,,,
S4b76666b,2017/8,97,90,,,,,,,
S4b8c8beb,2015/6,62,,,,,,,,
S4c2ceb65,2017/8,56,47,,,,,,,
S4c30b23b,2016/7,69,67,,,,,,,
S4c7a0dd7,2016/7,81,61,,,,,,,
S4c807287,2016/7,54,64,,,,,,,
S4c94016f,2017/8,69,65,,,,,,,
S4d744a7f,2015/6,57,49,,,,,,,
S4d834fa9,2017/8,73,88,,,,,,,
S4d8865c5,2017/8,65,,,,,,,,
S4db1e9be,2017/8,88,70,,,,,,,
S4dfcc4d7,2017/8,52,42,,,,,,,
S4ea55be3,2016/7,64,79,,,,,,,
S4eaaece0,2015/6,79,70,,,,,,,
S4f0257ee,2017/8,86,88,,,,,,,
S4f3c1412,2016/7,67,72,,,,,,,
S4f9d7501,2015/6,86,73,,,,,,,
S4fcc2a57,2016/7,75,76,,,,,,,
S4fe3d8a3,2016/7,70,78,,,,,,,
S5051b323,2016/7,62,80,,,,,,,
S5134b5ac,2015/6,73,82,,,,,,,
S51df3651,2017/8,68,71,,,,,,,
S5212f3d4,2017/8,78,89,,,,,,,
S52654d8b,2017/8,66,63,,,,,,,
S5276bc41,2015/6,64,60,,,,,,,
S52d09f92,2016/7,52,35,,,,,,,
S533efcec,2016/7,71,70,,,,,,,
S53b6cbf5,2015/6,67,49,,,,,,,
S53c1650d,2017/8,50,31,,,,,,,
S53d19b2d,2017/8,49,36,,,,,,,
S53e77f20,2015/6,49,,,,,,,,
S53e9574e,2015/6,49,66,,,,,,,
S542baac8,2016/7,70,82,,,,,,,
S547f51ba,2015/6,63,55,,,,,,,
S54837e00,2016/7,75,74,,,,,,,
S54887f0d,2015/6,63,59,,,,,,,
S54e9b0ed,2017/8,86,,,,,,,,
S55a45b54,2017/8,67,72,,,,,,,
S55b8f61e,2015/6,68,76,,,,,,,
S55d02533,2017/8,67,61,,,,,,,
S55e934a8,2017/8,55,51,,,,,,,
S56019db9,2017/8,52,60,,,,,,,
S56747383,2016/7,59,69,,,,,,,
S56e8e45b,2016/7,87,89,,,,,,,
S576abc68,2016/7,70,69,,,,,,,
S579b7b84,2015/6,46,,,,,,,,
S5877bd37,2015/6,77,70,,,,,,,
S5918b838,2017/8,90,89,,,,,,,
S59529a34,2016/7,75,74,,,,,,,
S5a6957da,2015/6,66,86,,,,,,,
S5a89213e,2017/8,79,83,,,,,,,
S5b52b900,2016/7,82,89,,,,,,,
S5bbbaa7a,2015/6,60,48,,,,,,,
S5bf1fe15,2016/7,73,73,,,,,,,
S5c75f082,2017/8,80,48,,,,,,,
S5c7aa332,2015/6,59,61,,,,,,,
S5cc7d9ea,2016/7,84,91,,,,,,,
S5d101d8e,2017/8,93,93,,,,,,,
S5d3b0476,2016/7,82,90,,,,,,,
S5d3c8964,2017/8,85,95,,,,,,,
S5e09e1a3,2017/8,83,74,,,,,,,
S5e74a758,2017/8,82,64,,,,,,,
S5e901ee1,2015/6,62,53,,,,,,,
S5e92ccf3,2015/6,60,59,,,,,,,
S5e9d5091,2015/6,49,50,,,,,,,
S5ee2493f,2016/7,65,69,,,,,,,
S5ee5add9,2015/6,51,51,,,,,,,
S5f29ff64,2015/6,67,70,,,,,,,
S5f5a91f1,2015/6,69,79,,,,,,,
S5f6977fe,2017/8,77,55,,,,,,,
S5fcfb09e,2016/7,46,40,,,,,,,
S5fe202a8,2015/6,62,71,,,,,,,
S60057f62,2017/8,61,68,,,,,,,
S606bae97,2015/6,50,5,,,,,,,
S6074a521,2017/8,55,81,,,,,,,
S608ba120,2017/8,73,62,,,,,,,
S60e23215,2016/7,77,87,,,,,,,
S6188e55d,2016/7,90,93,,,,,,,
S6192851d,2016/7,75,68,,,,,,,
S61d466ab,2016/7,50,58,,,,,,,
S62048e9e,2017/8,64,49,,,,,,,
S6287de4e,2017/8,38,22,,,,,,,
S62e982fc,2016/7,83,77,,,,,,,
S6334181a,2017/8,60,54,,,,,,,
S63559a5f,2017/8,66,75,,,,,,,
S6377c268,2016/7,74,81,,,,,,,
S637ccc55,2017/8,76,68,,,,,,,
S637de5b9,2016/7,84,59,,,,,,,
S63a44d14,2016/7,47,54,,,,,,,
S63ac5354,2016/7,33,,,,,,,,
S63b715c8,2016/7,76,69,,,,,,,
S645b6164,2017/8,83,78,,,,,,,
S6462f288,2016/7,56,67,,,,,,,
S64734380,2017/8,88,82,,,,,,,
S64becaf7,2016/7,72,58,,,,,,,
S6500f452,2017/8,66,62,,,,,,,
S658b7510,2016/7,90,88,,,,,,,
S659231db,2017/8,74,76,,,,,,,
S65a20427,2017/8,71,,,,,,50,,
S66080ff6,2015/6,71,61,,,,,,,
S664fc5ac,2015/6,58,75,,,,,,,
S6669df81,2017/8,56,50,,,,,,,
S673623cc,2017/8,62,54,,,,,,,
S6758541f,2015/6,53,42,,,,,,,
S675a3fbc,2015/6,57,59,,,,,,,
S677b25c4,2015/6,55,47,,,,,,,
S677f7849,2017/8,75,72,,,,,,,
S67a2df5b,2016/7,84,91,,,,,,,
S68012671,2017/8,32,27,,,,,,,
S689ab290,2015/6,85,88,,,,,,,
S691e1f03,2016/7,72,75,,,,,,,
S69c7b7ae,2016/7,75,87,,,,,,,
S6a224f58,2016/7,62,61,,,,,,,
S6a56ca1b,2017/8,92,96,,,,,,,
S6a837c79,2016/7,58,41,,,,,,,
S6ae996c5,2017/8,83,84,,,,,,,
S6b10991e,2015/6,48,49,,,,,,,
S6b347570,2016/7,48,53,,,,,,,
S6bb6dc09,2015/6,57,64,,,,,,,
S6c7ab050,2017/8,79,72,,,,,,,
S6d1d8f4e,2016/7,94,84,,,,,,,
S6d3559be,2015/6,52,59,,,,,,,
S6f29db9c,2015/6,75,84,,,,,,,
S6f400950,2015/6,53,,,,,,,,
S6f7799b3,2017/8,59,56,,,,,,,
S708c9d40,2015/6,45,39,,,,,,,
S70993350,2016/7,57,,,,,,,,
S70d651cb,2016/7,70,71,,,,,,,
S70dfcf71,2016/7,65,69,,,,,,,
S71175291,2016/7,77,91,,,,,,,
S7150052b,2016/7,91,88,,,,,,,
S715fdbdc,2017/8,43,39,,,,,,,
S717bf860,2016/7,60,73,,,,,,,
S717da88a,2015/6,44,46,,,,,,,
S71a164e1,2015/6,68,57,,,,,,,
S720dae66,2017/8,91,87,,,,,,,
S722e9218,2015/6,49,58,,,,,,,
S725ae34f,2017/8,76,97,,,,,,,
S725b8706,2015/6,42,51,,,,,,,
S727091ce,2016/7,81,75,,,,,,,
S72a551cf,2015/6,57,57,,,,,,,
S72ddca43,2015/6,68,59,,,,,,,
S732705a0,2017/8,62,31,,,,,,,
S74910b06,2017/8,85,91,,,,,,,
S74c16d1b,2017/8,88,72,,,,,,,
S74d942a9,2016/7,82,77,,,,,,,
S7587f1cc,2017/8,69,60,,,,,,,
S758a847a,2016/7,57,67,,,,,,,
S75a336c3,2017/8,91,91,,,,,,,
S75ec095a,2016/7,60,59,,,,,,,
S766fee5c,2015/6,65,53,,,,,,,
S76ab02b5,2017/8,31,20,,,,,,,
S76e120b9,2017/8,67,68,,,,,,,
S770b6719,2017/8,49,38,,,,,,,
S775c2a30,2016/7,78,80,,,,,,,
S77893a74,2017/8,72,84,,,,,,,
S77987058,2017/8,89,79,,,,,,,
S77c471d9,2016/7,71,71,,,,,,,
S78143913,2017/8,88,73,,,,,,,
S7830bc89,2016/7,77,87,,,,,,,
S7842dfa1,2016/7,91,12,,,,,,,
S788b62af,2015/6,64,78,,,,,,,
S78c74d4b,2016/7,85,89,,,,,,,
S79571147,2016/7,85,89,,,,,,,
S79637936,2016/7,73,78,,,,,,,
S796b02de,2015/6,65,50,,,,,,,
S7aae3da8,2017/8,56,71,,,,,,,
S7b1eb683,2015/6,59,,,,,,,,
S7b6a8541,2017/8,72,55,,,,,,,
S7c1f430a,2017/8,86,75,,,,,,,
S7c788102,2016/7,86,86,,,,,,,
S7c931258,2016/7,93,95,,,,,,,
S7df4af31,2017/8,50,42,,,,,,,
S7e529222,2016/7,72,86,,,,,,,
S7ec1b195,2015/6,49,,,,,,,,
S7ef5310b,2017/8,91,78,,,,,,,
S7f48b6c5,2017/8,60,57,,,,,,,
S8068ec81,2017/8,81,90,,,,,,,
S80ad6421,2016/7,64,82,,,,,,,
S80f3eab0,2017/8,69,74,,,,,,,
S811a147b,2016/7,89,88,,,,,,,
S811ab25d,2016/7,87,91,,,,,,,
S811ea275,2016/7,62,81,,,,,,,
S816a5155,2016/7,40,52,,,,,,,
S818bd128,2016/7,88,52,,,,,,,
S8193a398,2016/7,83,90,,,,,,,
S81c721b9,2015/6,80,86,,,,,,,
S822f57dd,2015/6,87,95,,,,,,,
S826d0d55,2017/8,70,65,,,,,,,
S828d7bb1,2016/7,75,73,,,,,,,
S82cd236e,2015/6,72,71,,,,,,,
S83220008,2015/6,55,50,,,,,,,
S840c95a5,2015/6,63,60,,,,,,,
S84197920,2017/8,72,62,,,,,,,
S84462a49,2015/6,64,54,,,,,,,
S84a6b81e,2016/7,91,91,,,,,,,
S84bd2ec7,2017/8,60,59,,,,,,,
S856953c8,2016/7,84,76,,,,,,,
S861cf100,2015/6,63,52,,,,,,,
S862fc74a,2015/6,44,61,,,,,,,
S869f1861,2016/7,79,84,,,,,,,
S8740d2e2,2015/6,66,70,,,,,,,
S877f0e73,2017/8,56,32,,,,,,,
S879452fb,2015/6,34,,,,,,,,
S87e2b32b,2017/8,75,81,,,,,,,
S87f2d0eb,2017/8,60,,,,,,,,
S88868d53,2017/8,61,59,,,,,,,
S88c6d58c,2017/8,66,56,,,,,,,
S88e8b725,2016/7,80,91,,,,,,,
S89b5049a,2017/8,81,78,,,,,,,
S8ac8fa87,2017/8,59,53,,,,,,,
S8b1b9b26,2015/6,54,64,,,,,,,
S8b9efeb4,2016/7,73,94,,,,,,,
S8bd3f78c,2016/7,64,65,,,,,,,
S8c483d7f,2017/8,89,76,,,,,,,
S8c4d2fda,2015/6,55,49,,,,,,,
S8e1abae3,2015/6,73,80,,,,,,,
S8e31874a,2015/6,62,60,,,,,,,
S8e4d03de,2017/8,55,52,,,,,,,
S8eb6560e,2016/7,92,90,,,,,,,
S90299a41,2017/8,85,70,,,,,,,
S90a256a6,2015/6,44,,,,,,,,
S90b2e523,2017/8,63,40,,,,,,,
S90ea696a,2016/7,79,86,,,,,,,
S90fbc8c5,2015/6,56,60,,,,,,,
S91396253,2017/8,56,54,,,,,,,
S9157a301,2017/8,65,52,,,,,,,29
S917e90a3,2017/8,83,67,,,,,,,
S929e4d6a,2016/7,49,,,,,,,,
S92f46734,2017/8,78,79,,,,,,,
S93074f3e,2015/6,69,68,,,,,,,
S93094c31,2016/7,74,76,,,,,,,
S930e2590,2016/7,86,93,,,,,,,
S93f7bea9,2017/8,50,42,,,,,,,
S93f92046,2016/7,69,51,,,,,,,
S94135902,2016/7,79,74,,,,,,,
S94494afc,2015/6,52,62,,,,,,,
S9606f077,2015/6,7,7,,,,,,,
S96a4036e,2015/6,54,,,,,,,,
S973ec102,2017/8,70,79,,,,,,,
S97aaaf45,2015/6,76,80,,,,,,,
S97f6ec51,2015/6,44,,,,,,,,
S9837d571,2015/6,56,78,,,,,,,
S9841a51d,2015/6,58,50,,,,,,,
S98780e5b,2016/7,61,48,,,,,,,
S987a1cab,2015/6,64,69,,,,,,,
S9880eebc,2016/7,75,92,,,,,,,
S988a5bbd,2015/6,31,34,,,,,,,
S988d54d8,2015/6,64,68,,,,,,,
S99d3f476,2017/8,73,71,,,,,,,
S9a29862d,2015/6,54,58,,,,,,,
S9abc3592,2015/6,66,63,,,,,,,
S9b26b56b,2017/8,62,68,,,,,,,
S9b4d0058,2015/6,64,62,,,,,,,
S9ba4cc57,2016/7,47,60,,,,,,,
S9ba4e806,2017/8,83,64,,,,,,,
S9bd43ff8,2017/8,80,74,,,,,,,
S9c04ca1d,2015/6,64,66,,,,,,,
S9d001ce5,2015/6,63,58,,,,,,,
S9d1abc47,2015/6,51,66,,,,,,,
S9d3e021b,2015/6,39,45,,,,,,,
S9d5577ca,2017/8,93,77,,,,,,,
S9d81e844,2017/8,61,60,,,,,,,
S9db1d1e4,2015/6,61,55,,,,,,,
S9dba24fd,2016/7,5,1,,,,,,,
S9ded41d9,2017/8,54,,,,,,,,
S9ee4267c,2017/8,81,91,,,,,,,
S9f58ee9a,2015/6,61,65,,,,,,,
S9f7550f0,2017/8,43,,,,,,,,
S9fbaf3dd,2016/7,79,78,,,,,,,
S9fcf12d7,2016/7,82,78,,,,,,,
Sa03ce7d1,2017/8,88,90,,,,,,,
Sa0a607de,2015/6,72,74,,,,,,,
Sa0f61890,2015/6,47,,,,,,,,
Sa12c10f3,2015/6,63,68,,,,,,,
Sa13945c7,2017/8,65,72,,,,,,,
Sa1488f23,2015/6,60,,,,,,,,
Sa16aecd2,2015/6,24,0,,,,,,,
Sa1a70361,2017/8,88,77,,,,,,,
Sa1bd6c11,2015/6,62,68,,,,,,,
Sa21b5102,2015/6,48,52,,,,,,,
Sa3526541,2017/8,82,91,,,,,,,
Sa36c9f0c,2016/7,67,74,,,,,,,
Sa402a66a,2015/6,52,53,,,,,,,
Sa5cf3988,2017/8,73,64,,,,,,,
Sa676244c,2015/6,55,63,,,,,,,
Sa7b39118,2016/7,80,76,,,,,,,
Sa80b219e,2015/6,67,69,,,,,,,
Sa9842b26,2015/6,54,49,,,,,,,
Sa991a167,2017/8,62,30,,,,,,,
Sa9b99c14,2017/8,87,90,,,,,,,
Sa9d00f21,2016/7,96,73,,,,,,,
Sa9f6636f,2017/8,75,51,,,,,,,
Saa6067dc,2015/6,61,67,,,,,,,
Saab3f737,2015/6,53,57,,,,,,,
Saad0b7c7,2017/8,32,20,,,,,,,
Sab2c4e0a,2016/7,65,63,,,,,,,
Sab3288e3,2015/6,77,71,,,,,,,
Sab5aafda,2015/6,66,69,,,,,,,
Sab9dde09,2017/8,60,53,,,,,,,
Sabff9344,2015/6,69,69,,,,,,,
Sac1ae4b2,2016/7,90,95,,,,,,,
Sac9df678,2016/7,30,9,,,,,,,
Sada223eb,2016/7,69,70,,,,,,,
Sadaf6d9b,2016/7,95,99,,,,,,,88
Sadc733f1,2017/8,87,93,,,,,,,
Saddb41ce,2015/6,51,,,,,,,,
Sae2bec0c,2017/8,65,56,,,,,,,
Sae72d449,2017/8,85,81,,,,,,,
Sae72ff28,2015/6,53,49,,,,,,,
Sae7998e1,2017/8,85,76,,,,,,,
Saed52552,2017/8,68,68,,,,,,,
Saf397fbd,2017/8,57,60,,,,,,,
Saf50189c,2015/6,60,56,,,,,,,
Saf6c1ba2,2017/8,68,59,,,,,,,
Saf78d1fb,2016/7,80,66,,,,,,,
Sb01279af,2016/7,72,74,,,,,,,
Sb0646c6b,2016/7,38,16,,,,,,,
Sb073799d,2017/8,63,72,,,,,,,
Sb18c1e06,2017/8,62,40,,,,,,,
Sb1ed5fcd,2017/8,78,72,,,,,,,
Sb218c4fb,2016/7,67,70,,,,,,,
Sb238272a,2015/6,80,64,,,,,,,
Sb28bf7eb,2017/8,51,43,,,,,,,
Sb315436b,2015/6,50,71,,,,,,,
